path,filename,product_name,model,condition,barcode,anomaly_type,is_anomaly
./extracted_data/clarity_dataset_v6\test\AirPods_3_Good\194253324034_Mint_down_20250819_143532_full.jpg,194253324034_Mint_down_20250819_143532_full.jpg,AirPods,3,Good,194253324034,Grade A,False
./extracted_data/clarity_dataset_v6\test\AirPods_3_Good\195949743597_GradeA_down_20250820_103157_full.jpg,195949743597_GradeA_down_20250820_103157_full.jpg,AirPods,3,Good,195949743597,Grade A,False
./extracted_data/clarity_dataset_v6\test\AirPods_3_Good\195949743597_Mint_down_20250819_141350_full.jpg,195949743597_Mint_down_20250819_141350_full.jpg,AirPods,3,Good,195949743597,Grade A,False
./extracted_data/clarity_dataset_v6\test\AirPods_3_Good\195949743597_Mint_down_20250819_141409_full.jpg,195949743597_Mint_down_20250819_141409_full.jpg,AirPods,3,Good,195949743597,Grade A,False
./extracted_data/clarity_dataset_v6\test\AirPods_3_Good\195949743603_Mint_up_20250819_143634_full.jpg,195949743603_Mint_up_20250819_143634_full.jpg,AirPods,3,Good,195949743603,Grade A,False
./extracted_data/clarity_dataset_v6\test\AirPods_4_Counterfeit\195949689604_Counterfeit_down_20250821_094517_full.jpg,195949689604_Counterfeit_down_20250821_094517_full.jpg,AirPods,4,Counterfeit,195949689604,Counterfeit,True
./extracted_data/clarity_dataset_v6\test\AirPods_4_Good\195949688522_GradeA_down_20250820_103023_full.jpg,195949688522_GradeA_down_20250820_103023_full.jpg,AirPods,4,Good,195949688522,Grade A,False
./extracted_data/clarity_dataset_v6\test\AirPods_4_Good\195949689604_GradeA_down_20250821_074339_full.jpg,195949689604_GradeA_down_20250821_074339_full.jpg,AirPods,4,Good,195949689604,Grade A,False
./extracted_data/clarity_dataset_v6\test\AirPods_4_Good\195949689604_GradeA_down_20250821_074610_full.jpg,195949689604_GradeA_down_20250821_074610_full.jpg,AirPods,4,Good,195949689604,Grade A,False
./extracted_data/clarity_dataset_v6\test\AirPods_4_Good\195949689604_GradeA_down_20250821_074636_full.jpg,195949689604_GradeA_down_20250821_074636_full.jpg,AirPods,4,Good,195949689604,Grade A,False
./extracted_data/clarity_dataset_v6\test\AirPods_4_Good\195949689604_GradeA_up_20250821_074319_full.jpg,195949689604_GradeA_up_20250821_074319_full.jpg,AirPods,4,Good,195949689604,Grade A,False
./extracted_data/clarity_dataset_v6\test\AirPods_Max_1_Counterfeit\194252244944_Counterfeit_up_20250821_094945_full.jpg,194252244944_Counterfeit_up_20250821_094945_full.jpg,AirPods_Max,1,Counterfeit,194252244944,Counterfeit,True
./extracted_data/clarity_dataset_v6\test\AirPods_Max_1_Good\194252244944_GradeA_down_20250821_075304_full.jpg,194252244944_GradeA_down_20250821_075304_full.jpg,AirPods_Max,1,Good,194252244944,Grade A,False
./extracted_data/clarity_dataset_v6\test\AirPods_Max_1_Good\194252244944_GradeA_up_20250821_075231_full.jpg,194252244944_GradeA_up_20250821_075231_full.jpg,AirPods_Max,1,Good,194252244944,Grade A,False
./extracted_data/clarity_dataset_v6\test\AirPods_Max_2_Counterfeit\195949544170_Counterfeit_up_20250821_095040_full.jpg,195949544170_Counterfeit_up_20250821_095040_full.jpg,AirPods_Max,2,Counterfeit,195949544170,Counterfeit,True
./extracted_data/clarity_dataset_v6\test\AirPods_Max_2_Counterfeit\195949544453_Mint_up_20250819_170330_full.jpg,195949544453_Mint_up_20250819_170330_full.jpg,AirPods_Max,2,Counterfeit,195949544453,Counterfeit,True
./extracted_data/clarity_dataset_v6\test\AirPods_Max_2_Good\195949544170_Mint_down_20250819_170213_full.jpg,195949544170_Mint_down_20250819_170213_full.jpg,AirPods_Max,2,Good,195949544170,Grade A,False
./extracted_data/clarity_dataset_v6\test\AirPods_Max_2_Good\195949544170_Mint_down_20250819_170223_full.jpg,195949544170_Mint_down_20250819_170223_full.jpg,AirPods_Max,2,Good,195949544170,Grade A,False
./extracted_data/clarity_dataset_v6\test\AirPods_Max_2_Good\195949544170_Mint_up_20250819_170203_full.jpg,195949544170_Mint_up_20250819_170203_full.jpg,AirPods_Max,2,Good,195949544170,Grade A,False
./extracted_data/clarity_dataset_v6\test\AirPods_Max_2_Good\195949544316_GradeA_down_20250821_075429_full.jpg,195949544316_GradeA_down_20250821_075429_full.jpg,AirPods_Max,2,Good,195949544316,Grade A,False
./extracted_data/clarity_dataset_v6\test\AirPods_Max_2_Good\195949544453_GradeA_down_20250820_094441_full.jpg,195949544453_GradeA_down_20250820_094441_full.jpg,AirPods_Max,2,Good,195949544453,Grade A,False
./extracted_data/clarity_dataset_v6\test\AirPods_Max_2_Good\195949544453_GradeA_down_20250820_094455_full.jpg,195949544453_GradeA_down_20250820_094455_full.jpg,AirPods_Max,2,Good,195949544453,Grade A,False
./extracted_data/clarity_dataset_v6\test\AirPods_Pro_2_Counterfeit\195949704529_Counterfeit_down_20250821_094729_full.jpg,195949704529_Counterfeit_down_20250821_094729_full.jpg,AirPods_Pro,2,Counterfeit,195949704529,Counterfeit,True
./extracted_data/clarity_dataset_v6\test\AirPods_Pro_2_Good\194253397168_GradeA_down_20250820_103400_full.jpg,194253397168_GradeA_down_20250820_103400_full.jpg,AirPods_Pro,2,Good,194253397168,Grade A,False
./extracted_data/clarity_dataset_v6\test\AirPods_Pro_2_Good\195949704529_GradeA_down_20250821_074802_full.jpg,195949704529_GradeA_down_20250821_074802_full.jpg,AirPods_Pro,2,Good,195949704529,Grade A,False
