File ID,File Name,MIME Type,Size (bytes),View URL,Download URL,Category,Subcategory,Make,Clarity Model Name,Class,Orientation,UPC,Model Number,Scan Datetime,Capture Source
1G43SY4T5LzQPYQO7iBsEhCLlNnGzMM5h,887276318226_Counterfeit_down_20250821_105931_full.tiff,image/tiff,24896318,https://drive.google.com/file/d/1G43SY4T5LzQPYQO7iBsEhCLlNnGzMM5h/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1G43SY4T5LzQPYQO7iBsEhCLlNnGzMM5h,Electronics,Watches,Samsung,Samsung Galaxy Watch Active 40 mm,Counterfeit,Face_Down,887276318226,SM-R500,2025-08-21T10:59:31,Elgato
1lq_xeNWBNrAU2o7mQgpPldmau6VyYDC4,887276318226_Counterfeit_up_20250821_105919_full.tiff,image/tiff,24896318,https://drive.google.com/file/d/1lq_xeNWBNrAU2o7mQgpPldmau6VyYDC4/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1lq_xeNWBNrAU2o7mQgpPldmau6VyYDC4,Electronics,Watches,Samsung,Samsung Galaxy Watch Active 40 mm,Counterfeit,Face_Up,887276318226,SM-R500,2025-08-21T10:59:19,Elgato
19M8kaqQJRJOVaIG5t6qYhMo_6LxFq1AM,887276551005_Counterfeit_down_20250821_105843_full.tiff,image/tiff,24896318,https://drive.google.com/file/d/19M8kaqQJRJOVaIG5t6qYhMo_6LxFq1AM/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=19M8kaqQJRJOVaIG5t6qYhMo_6LxFq1AM,Electronics,Watches,Samsung,Samsung Galaxy Watch4 Classic 46 mm,Counterfeit,Face_Down,887276551005,SM-R890NZKAXAA,2025-08-21T10:58:43,Elgato
1K9ph3SQhYqqnHs7GLX0SOBwexDGddkei,887276551005_Counterfeit_up_20250821_105833_full.tiff,image/tiff,24896318,https://drive.google.com/file/d/1K9ph3SQhYqqnHs7GLX0SOBwexDGddkei/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1K9ph3SQhYqqnHs7GLX0SOBwexDGddkei,Electronics,Watches,Samsung,Samsung Galaxy Watch4 Classic 46 mm,Counterfeit,Face_Up,887276551005,SM-R890NZKAXAA,2025-08-21T10:58:33,Elgato
1k4q8EVjLxYn85qGzxSNg-mcXMOsSZ-OY,887276553719_Counterfeit_down_20250821_105806_full.tiff,image/tiff,24896318,https://drive.google.com/file/d/1k4q8EVjLxYn85qGzxSNg-mcXMOsSZ-OY/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1k4q8EVjLxYn85qGzxSNg-mcXMOsSZ-OY,Electronics,Watches,Samsung,Samsung Galaxy Watch4 40 mm,Counterfeit,Face_Down,887276553719,SM-R865UZDAXAA,2025-08-21T10:58:06,Elgato
1un6e2XsrxonlmokCXCLTrnVjlm4NZn1o,887276553719_Counterfeit_up_20250821_105753_full.tiff,image/tiff,24896318,https://drive.google.com/file/d/1un6e2XsrxonlmokCXCLTrnVjlm4NZn1o/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1un6e2XsrxonlmokCXCLTrnVjlm4NZn1o,Electronics,Watches,Samsung,Samsung Galaxy Watch4 40 mm,Counterfeit,Face_Up,887276553719,SM-R865UZDAXAA,2025-08-21T10:57:53,Elgato
1XdOB4A8CXDX8IG6-O90-RN3dlTV_Zkur,194253941606_Counterfeit_down_20250821_105708_full.tiff,image/tiff,24896318,https://drive.google.com/file/d/1XdOB4A8CXDX8IG6-O90-RN3dlTV_Zkur/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1XdOB4A8CXDX8IG6-O90-RN3dlTV_Zkur,Electronics,Watches,Apple,Apple Watch 9 45mm,Counterfeit,Face_Down,194253941606,MR9A3LW/A,2025-08-21T10:57:08,Elgato
1coTn6SOEgDyWnBJFUJz0LJAnteSB9Msn,194253941606_Counterfeit_up_20250821_105657_full.tiff,image/tiff,24896318,https://drive.google.com/file/d/1coTn6SOEgDyWnBJFUJz0LJAnteSB9Msn/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1coTn6SOEgDyWnBJFUJz0LJAnteSB9Msn,Electronics,Watches,Apple,Apple Watch 9 45mm,Counterfeit,Face_Up,194253941606,MR9A3LW/A,2025-08-21T10:56:57,Elgato
17hrIgCe3c6Y1YYPb3b1-UlCkFEq5tlnA,194253941576_Counterfeit_down_20250821_105636_full.tiff,image/tiff,24896318,https://drive.google.com/file/d/17hrIgCe3c6Y1YYPb3b1-UlCkFEq5tlnA/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=17hrIgCe3c6Y1YYPb3b1-UlCkFEq5tlnA,Electronics,Watches,Apple,Apple Watch 9 45mm,Counterfeit,Face_Down,194253941576,MR973LW/A,2025-08-21T10:56:36,Elgato
11Qgmrjs_xj0RzC3KaIvhFxysmEd77sum,194253941576_Counterfeit_up_20250821_105625_full.tiff,image/tiff,24896318,https://drive.google.com/file/d/11Qgmrjs_xj0RzC3KaIvhFxysmEd77sum/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=11Qgmrjs_xj0RzC3KaIvhFxysmEd77sum,Electronics,Watches,Apple,Apple Watch 9 45mm,Counterfeit,Face_Up,194253941576,MR973LW/A,2025-08-21T10:56:25,Elgato
1FLEpXNStdqgHHWl4x9XWa4yXWO-JyLUH,194253941606_Counterfeit_down_20250821_105601_full.tiff,image/tiff,24896318,https://drive.google.com/file/d/1FLEpXNStdqgHHWl4x9XWa4yXWO-JyLUH/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1FLEpXNStdqgHHWl4x9XWa4yXWO-JyLUH,Electronics,Watches,Apple,Apple Watch 9 45mm,Counterfeit,Face_Down,194253941606,MR9A3LW/A,2025-08-21T10:56:01,Elgato
1xP2dglSSlbb467shoOe5SdxDS2D29cUS,194253941606_Counterfeit_up_20250821_105549_full.tiff,image/tiff,24896318,https://drive.google.com/file/d/1xP2dglSSlbb467shoOe5SdxDS2D29cUS/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1xP2dglSSlbb467shoOe5SdxDS2D29cUS,Electronics,Watches,Apple,Apple Watch 9 45mm,Counterfeit,Face_Up,194253941606,MR9A3LW/A,2025-08-21T10:55:49,Elgato
1VZH3nb5Rmf8gfK-5ZmJzjMDCaqIB4aCJ,195949560965_Counterfeit_down_20250821_105502_full.tiff,image/tiff,24896318,https://drive.google.com/file/d/1VZH3nb5Rmf8gfK-5ZmJzjMDCaqIB4aCJ/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1VZH3nb5Rmf8gfK-5ZmJzjMDCaqIB4aCJ,Electronics,Watches,Apple,Apple Watch 10 46mm,Counterfeit,Face_Down,195949560965,MWWP3LW/A,2025-08-21T10:55:02,Elgato
1i-bmcKqI_BnJy1YU7FiNjoNzQPj393zD,195949560965_Counterfeit_up_20250821_105449_full.tiff,image/tiff,24896318,https://drive.google.com/file/d/1i-bmcKqI_BnJy1YU7FiNjoNzQPj393zD/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1i-bmcKqI_BnJy1YU7FiNjoNzQPj393zD,Electronics,Watches,Apple,Apple Watch 10 46mm,Counterfeit,Face_Up,195949560965,MWWP3LW/A,2025-08-21T10:54:49,Elgato
